,Fold,Sentence_ID,Sentence,E1,E2,isValid
0,9,HPRD50.d2.s2,"This is relevant for the case of LH and FSH, because both are synthesized in the same cell (i.e., pituitary gonadotrophs) and several of the alpha subunit sequences required for association with either the LH beta or FSH beta subunits are different",LH beta,FSH beta,False
0,9,HPRD50.d2.s3,"Previously, we showed that the CG beta or FSH beta subunit genes can be genetically fused to the alpha gene to produce biologically active single chains, CG beta alpha and F beta alpha, respectively",CG beta,FSH beta,False
0,9,HPRD50.d2.s3,"Previously, we showed that the CG beta or FSH beta subunit genes can be genetically fused to the alpha gene to produce biologically active single chains, CG beta alpha and F beta alpha, respectively",CG beta,CG beta alpha,False
0,9,HPRD50.d2.s3,"Previously, we showed that the CG beta or FSH beta subunit genes can be genetically fused to the alpha gene to produce biologically active single chains, CG beta alpha and F beta alpha, respectively",FSH beta,CG beta alpha,False
0,7,HPRD50.d3.s0,"Interleukin-6 activates phosphatidylinositol-3 kinase, which inhibits apoptosis in human prostate cancer cell lines",Interleukin-6,phosphatidylinositol-3 kinase,True
0,7,HPRD50.d3.s1,RESULTS: Tyrosine phosphorylation of p85 is upregulated by IL-6 in both LNCaP and PC-3,IL-6,PC-3,False
0,7,HPRD50.d3.s2,"IL-6 promotes coprecipitation of p85 with gp130, the signal-transducing component of the IL-6 receptor",IL-6,gp130,True
0,7,HPRD50.d3.s2,"IL-6 promotes coprecipitation of p85 with gp130, the signal-transducing component of the IL-6 receptor",IL-6,IL-6 receptor,False
0,7,HPRD50.d3.s2,"IL-6 promotes coprecipitation of p85 with gp130, the signal-transducing component of the IL-6 receptor",gp130,IL-6 receptor,False
0,5,HPRD50.d4.s0,"In solution, FGFR4ed formed complexes with acidic FGF (FGF-1) and basic FGF (FGF-2), both in the presence and absence of heparin",acidic FGF (FGF-1),basic FGF (FGF-2),False
0,5,HPRD50.d4.s1,Immobilized FGFR4 also bound FGF-8 besides FGF-1 and FGF-2,FGFR4,FGF-8,True
0,5,HPRD50.d4.s1,Immobilized FGFR4 also bound FGF-8 besides FGF-1 and FGF-2,FGFR4,FGF-1,True
0,5,HPRD50.d4.s1,Immobilized FGFR4 also bound FGF-8 besides FGF-1 and FGF-2,FGFR4,FGF-2,True
0,5,HPRD50.d4.s1,Immobilized FGFR4 also bound FGF-8 besides FGF-1 and FGF-2,FGF-8,FGF-1,False
0,5,HPRD50.d4.s1,Immobilized FGFR4 also bound FGF-8 besides FGF-1 and FGF-2,FGF-8,FGF-2,False
0,5,HPRD50.d4.s1,Immobilized FGFR4 also bound FGF-8 besides FGF-1 and FGF-2,FGF-1,FGF-2,False
0,3,HPRD50.d5.s0,Cytohesin-1 regulates beta-2 integrin-mediated adhesion through both ARF-GEF function and interaction with LFA-1,Cytohesin-1,LFA-1,True
0,3,HPRD50.d5.s1,"Here we provide evidence of how cytohesin-1, an integrin-binding protein and guanine-nucleotide exchange factor (GEF) for ARF GTPases, regulates cell adhesion",cytohesin-1,ARF,True
0,3,HPRD50.d5.s2,"Mutational analyses of the beta-2 cytoplasmic domain revealed that the adhesive function of LFA-1 depends on its interaction with cytohesin-1, unless the integrin is activated by exogenous divalent cations",LFA-1,cytohesin-1,True
0,3,HPRD50.d5.s3,"Secondly, cytohesin-1 induces expression of an extracellular activation epitope of LFA-1, and the exchange factor function is not essential for this activity",cytohesin-1,LFA-1,True
0,3,HPRD50.d5.s4,"In contrast, LFA-1-mediated cell adhesion and spreading on intercellular cell adhesion molecule 1 is strongly inhibited by a cytohesin-1 mutant, which fails to catalyze ARF GDP-GTP exchange in vitro",cytohesin-1,ARF,True
0,3,HPRD50.d5.s5,"Thus, cytohesin-1 is involved in the activation of LFA-1, most probably through direct interaction with the integrin, and induces cell spreading by its ARF-GEF activity",cytohesin-1,LFA-1,True
0,1,HPRD50.d7.s0,Suppression of rat thromboxane synthase gene transcription by peroxisome proliferator-activated receptor gamma in macrophages via an interaction with NRF2,peroxisome proliferator-activated receptor gamma,NRF2,True
0,1,HPRD50.d7.s1,"Deletion analysis showed that the element responsible for the PPARgamma effect is located in a region containing the nuclear factor E2 (NF-E2)/AP-1 site (-98/-88), which was indicated to be the major promoter of the TXS gene",NF-E2,AP-1,False
0,1,HPRD50.d7.s2,"By electrophoretic mobility shift assay using the NF-E2/AP-1 site and nuclear extracts from macrophages, we observed a specific protein-DNA complex formation, which was inhibited by a specific antibody against the transcription factor NRF2 (NF-E2-related factor 2)",NF-E2,AP-1,False
0,1,HPRD50.d7.s2,"By electrophoretic mobility shift assay using the NF-E2/AP-1 site and nuclear extracts from macrophages, we observed a specific protein-DNA complex formation, which was inhibited by a specific antibody against the transcription factor NRF2 (NF-E2-related factor 2)",NF-E2,NRF2,False
0,1,HPRD50.d7.s2,"By electrophoretic mobility shift assay using the NF-E2/AP-1 site and nuclear extracts from macrophages, we observed a specific protein-DNA complex formation, which was inhibited by a specific antibody against the transcription factor NRF2 (NF-E2-related factor 2)",NF-E2,NF-E2-related factor 2,False
0,1,HPRD50.d7.s2,"By electrophoretic mobility shift assay using the NF-E2/AP-1 site and nuclear extracts from macrophages, we observed a specific protein-DNA complex formation, which was inhibited by a specific antibody against the transcription factor NRF2 (NF-E2-related factor 2)",AP-1,NRF2,False
0,1,HPRD50.d7.s2,"By electrophoretic mobility shift assay using the NF-E2/AP-1 site and nuclear extracts from macrophages, we observed a specific protein-DNA complex formation, which was inhibited by a specific antibody against the transcription factor NRF2 (NF-E2-related factor 2)",AP-1,NF-E2-related factor 2,False
0,1,HPRD50.d7.s2,"By electrophoretic mobility shift assay using the NF-E2/AP-1 site and nuclear extracts from macrophages, we observed a specific protein-DNA complex formation, which was inhibited by a specific antibody against the transcription factor NRF2 (NF-E2-related factor 2)",NRF2,NF-E2-related factor 2,False
0,1,HPRD50.d7.s3,"Finally, a direct interaction between PPARgamma and NRF2 was confirmed by glutathione S-transferase pull-down assay",NRF2,glutathione S-transferase,False
0,3,HPRD50.d8.s0,"By constructing deletion mutants, we identified that amino acid residues 229-309 of Akt were involved in the binding to Hsp90 and amino acid residues 327-340 of Hsp90beta were involved in the binding to Akt",Hsp90,Hsp90beta,False
0,1,HPRD50.d9.s0,"Here, we cloned and characterized a mouse orthologue of human KIAA1427 protein as an atypical Syt (named Syt XIII)",KIAA1427,Syt,False
0,1,HPRD50.d9.s0,"Here, we cloned and characterized a mouse orthologue of human KIAA1427 protein as an atypical Syt (named Syt XIII)",KIAA1427,Syt XIII,False
0,1,HPRD50.d9.s0,"Here, we cloned and characterized a mouse orthologue of human KIAA1427 protein as an atypical Syt (named Syt XIII)",Syt,Syt XIII,False
0,1,HPRD50.d9.s1,"Subcellular fractionation and antibody-uptake experiments indicate that Syt XIII is indeed a type-I membrane protein, but, unlike other Syt isoforms, lacks an N-terminal extracellular domain",Syt XIII,Syt,False
0,1,HPRD50.d11.s0,Direct interaction between the cytoplasmic tail of ADAM 12 and the Src homology 3 domain of p85alpha activates phosphatidylinositol 3-kinase in C2C12 cells,ADAM 12,p85alpha,True
0,1,HPRD50.d11.s0,Direct interaction between the cytoplasmic tail of ADAM 12 and the Src homology 3 domain of p85alpha activates phosphatidylinositol 3-kinase in C2C12 cells,ADAM 12,phosphatidylinositol 3-kinase,True
0,1,HPRD50.d11.s0,Direct interaction between the cytoplasmic tail of ADAM 12 and the Src homology 3 domain of p85alpha activates phosphatidylinositol 3-kinase in C2C12 cells,p85alpha,phosphatidylinositol 3-kinase,True
0,1,HPRD50.d11.s1,"This suggests that transmembrane ADAM 12, by providing docking sites for the Src homology 3 domain of p85alpha, activates PI 3-kinase by mediating its recruitment to the membrane",ADAM 12,p85alpha,True
0,2,HPRD50.d12.s0,AP180 binds to the C-terminal SH2 domain of phospholipase C-gamma1 and inhibits its enzymatic activity,AP180,phospholipase C-gamma1,True
0,2,HPRD50.d12.s1,"In this report, we demonstrate the stable association of PLCgamma1 with AP180 in a clathrin-coated vesicle complex, which not only binds to the carboxyl-terminal SH2 domain of PLCgamma1, but also inhibits its enzymatic activity in a dose-dependent manner",PLCgamma1,AP180,True
0,2,HPRD50.d12.s1,"In this report, we demonstrate the stable association of PLCgamma1 with AP180 in a clathrin-coated vesicle complex, which not only binds to the carboxyl-terminal SH2 domain of PLCgamma1, but also inhibits its enzymatic activity in a dose-dependent manner",PLCgamma1,PLCgamma1,False
0,2,HPRD50.d12.s1,"In this report, we demonstrate the stable association of PLCgamma1 with AP180 in a clathrin-coated vesicle complex, which not only binds to the carboxyl-terminal SH2 domain of PLCgamma1, but also inhibits its enzymatic activity in a dose-dependent manner",AP180,PLCgamma1,True
0,4,HPRD50.d13.s0,Here we demonstrate colocalization and direct interaction between CLIP-170 and LIS1,CLIP-170,LIS1,True
0,4,HPRD50.d13.s1,"Overexpression of CLIP-170 results in a zinc finger-dependent localization of a phospho-LIS1 isoform and dynactin to MT bundles, raising the possibility that CLIP-170 and LIS1 regulate dynein/dynactin binding to MTs",CLIP-170,phospho-LIS1,True
0,4,HPRD50.d13.s1,"Overexpression of CLIP-170 results in a zinc finger-dependent localization of a phospho-LIS1 isoform and dynactin to MT bundles, raising the possibility that CLIP-170 and LIS1 regulate dynein/dynactin binding to MTs",CLIP-170,CLIP-170,False
0,4,HPRD50.d13.s1,"Overexpression of CLIP-170 results in a zinc finger-dependent localization of a phospho-LIS1 isoform and dynactin to MT bundles, raising the possibility that CLIP-170 and LIS1 regulate dynein/dynactin binding to MTs",CLIP-170,LIS1,False
0,4,HPRD50.d13.s1,"Overexpression of CLIP-170 results in a zinc finger-dependent localization of a phospho-LIS1 isoform and dynactin to MT bundles, raising the possibility that CLIP-170 and LIS1 regulate dynein/dynactin binding to MTs",phospho-LIS1,CLIP-170,False
0,4,HPRD50.d13.s1,"Overexpression of CLIP-170 results in a zinc finger-dependent localization of a phospho-LIS1 isoform and dynactin to MT bundles, raising the possibility that CLIP-170 and LIS1 regulate dynein/dynactin binding to MTs",phospho-LIS1,LIS1,False
0,4,HPRD50.d13.s1,"Overexpression of CLIP-170 results in a zinc finger-dependent localization of a phospho-LIS1 isoform and dynactin to MT bundles, raising the possibility that CLIP-170 and LIS1 regulate dynein/dynactin binding to MTs",CLIP-170,LIS1,False
0,4,HPRD50.d13.s2,"This work suggests that LIS1 is a regulated adapter between CLIP-170 and cytoplasmic dynein at sites involved in cargo-MT loading, and/or in the control of MT dynamics",LIS1,CLIP-170,True
0,3,HPRD50.d14.s0,Megalin and cubilin: multifunctional endocytic receptors,Megalin,cubilin,False
0,3,HPRD50.d14.s1,Megalin and cubilin are two structurally different endocytic receptors that interact to serve such functions,Megalin,cubilin,True
0,6,HPRD50.d16.s0,GADD45b and GADD45g are cdc2/cyclinB1 kinase inhibitors with a role in S and G2/M cell cycle checkpoints induced by genotoxic stress,GADD45b,GADD45g,False
0,6,HPRD50.d16.s0,GADD45b and GADD45g are cdc2/cyclinB1 kinase inhibitors with a role in S and G2/M cell cycle checkpoints induced by genotoxic stress,GADD45b,cdc2,True
0,6,HPRD50.d16.s0,GADD45b and GADD45g are cdc2/cyclinB1 kinase inhibitors with a role in S and G2/M cell cycle checkpoints induced by genotoxic stress,GADD45g,cdc2,True
0,6,HPRD50.d16.s1,"Gadd45a (Gadd45), Gadd45b (MyD118), and Gadd45g (CR6) constitute a family of evolutionarily conserved, small, acidic, nuclear proteins, which have been implicated in terminal differentiation, growth suppression, and apoptosis",Gadd45a,Gadd45,False
0,6,HPRD50.d16.s1,"Gadd45a (Gadd45), Gadd45b (MyD118), and Gadd45g (CR6) constitute a family of evolutionarily conserved, small, acidic, nuclear proteins, which have been implicated in terminal differentiation, growth suppression, and apoptosis",Gadd45a,Gadd45b,False
0,6,HPRD50.d16.s1,"Gadd45a (Gadd45), Gadd45b (MyD118), and Gadd45g (CR6) constitute a family of evolutionarily conserved, small, acidic, nuclear proteins, which have been implicated in terminal differentiation, growth suppression, and apoptosis",Gadd45a,MyD118,False
0,6,HPRD50.d16.s1,"Gadd45a (Gadd45), Gadd45b (MyD118), and Gadd45g (CR6) constitute a family of evolutionarily conserved, small, acidic, nuclear proteins, which have been implicated in terminal differentiation, growth suppression, and apoptosis",Gadd45a,Gadd45g,False
0,6,HPRD50.d16.s1,"Gadd45a (Gadd45), Gadd45b (MyD118), and Gadd45g (CR6) constitute a family of evolutionarily conserved, small, acidic, nuclear proteins, which have been implicated in terminal differentiation, growth suppression, and apoptosis",Gadd45a,CR6,False
0,6,HPRD50.d16.s1,"Gadd45a (Gadd45), Gadd45b (MyD118), and Gadd45g (CR6) constitute a family of evolutionarily conserved, small, acidic, nuclear proteins, which have been implicated in terminal differentiation, growth suppression, and apoptosis",Gadd45,Gadd45b,False
0,6,HPRD50.d16.s1,"Gadd45a (Gadd45), Gadd45b (MyD118), and Gadd45g (CR6) constitute a family of evolutionarily conserved, small, acidic, nuclear proteins, which have been implicated in terminal differentiation, growth suppression, and apoptosis",Gadd45,MyD118,False
0,6,HPRD50.d16.s1,"Gadd45a (Gadd45), Gadd45b (MyD118), and Gadd45g (CR6) constitute a family of evolutionarily conserved, small, acidic, nuclear proteins, which have been implicated in terminal differentiation, growth suppression, and apoptosis",Gadd45,Gadd45g,False
0,6,HPRD50.d16.s1,"Gadd45a (Gadd45), Gadd45b (MyD118), and Gadd45g (CR6) constitute a family of evolutionarily conserved, small, acidic, nuclear proteins, which have been implicated in terminal differentiation, growth suppression, and apoptosis",Gadd45,CR6,False
0,6,HPRD50.d16.s1,"Gadd45a (Gadd45), Gadd45b (MyD118), and Gadd45g (CR6) constitute a family of evolutionarily conserved, small, acidic, nuclear proteins, which have been implicated in terminal differentiation, growth suppression, and apoptosis",Gadd45b,MyD118,False
0,6,HPRD50.d16.s1,"Gadd45a (Gadd45), Gadd45b (MyD118), and Gadd45g (CR6) constitute a family of evolutionarily conserved, small, acidic, nuclear proteins, which have been implicated in terminal differentiation, growth suppression, and apoptosis",Gadd45b,Gadd45g,False
0,6,HPRD50.d16.s1,"Gadd45a (Gadd45), Gadd45b (MyD118), and Gadd45g (CR6) constitute a family of evolutionarily conserved, small, acidic, nuclear proteins, which have been implicated in terminal differentiation, growth suppression, and apoptosis",Gadd45b,CR6,False
0,6,HPRD50.d16.s1,"Gadd45a (Gadd45), Gadd45b (MyD118), and Gadd45g (CR6) constitute a family of evolutionarily conserved, small, acidic, nuclear proteins, which have been implicated in terminal differentiation, growth suppression, and apoptosis",MyD118,Gadd45g,False
0,6,HPRD50.d16.s1,"Gadd45a (Gadd45), Gadd45b (MyD118), and Gadd45g (CR6) constitute a family of evolutionarily conserved, small, acidic, nuclear proteins, which have been implicated in terminal differentiation, growth suppression, and apoptosis",MyD118,CR6,False
0,6,HPRD50.d16.s1,"Gadd45a (Gadd45), Gadd45b (MyD118), and Gadd45g (CR6) constitute a family of evolutionarily conserved, small, acidic, nuclear proteins, which have been implicated in terminal differentiation, growth suppression, and apoptosis",Gadd45g,CR6,False
0,6,HPRD50.d16.s2,Recent evidence has implicated Gadd45a in inhibition of cdc2/cyclinB1 kinase and in G2/M cell cycle arrest,Gadd45a,cdc2,True
0,6,HPRD50.d16.s3,"Yet, whether Gadd45b and/or Gadd45g function as inhibitors of cdc2/cyclinB1 kinase and/or play a role in G2/M cell cycle arrest has not been fully established",Gadd45b,Gadd45g,False
0,6,HPRD50.d16.s3,"Yet, whether Gadd45b and/or Gadd45g function as inhibitors of cdc2/cyclinB1 kinase and/or play a role in G2/M cell cycle arrest has not been fully established",Gadd45b,cdc2,True
0,6,HPRD50.d16.s3,"Yet, whether Gadd45b and/or Gadd45g function as inhibitors of cdc2/cyclinB1 kinase and/or play a role in G2/M cell cycle arrest has not been fully established",Gadd45g,cdc2,True
0,6,HPRD50.d16.s4,"In this work, we show that Gadd45b and Gadd45g specifically interact with the Cdk1/CyclinB1 complex, but not with other Cdk/Cyclin complexes, in vitro and in vivo",Gadd45b,Gadd45g,False
0,6,HPRD50.d16.s4,"In this work, we show that Gadd45b and Gadd45g specifically interact with the Cdk1/CyclinB1 complex, but not with other Cdk/Cyclin complexes, in vitro and in vivo",Gadd45b,Cdk1,True
0,6,HPRD50.d16.s4,"In this work, we show that Gadd45b and Gadd45g specifically interact with the Cdk1/CyclinB1 complex, but not with other Cdk/Cyclin complexes, in vitro and in vivo",Gadd45g,Cdk1,True
0,6,HPRD50.d16.s5,"Data also has been obtained that Gadd45b and Gadd45g, as well as GADD45a, interact with both Cdk1 and cyclinB1, resulting in inhibition of the kinase activity of the Cdk1/cyclinB1 complex",Gadd45b,Gadd45g,False
0,6,HPRD50.d16.s5,"Data also has been obtained that Gadd45b and Gadd45g, as well as GADD45a, interact with both Cdk1 and cyclinB1, resulting in inhibition of the kinase activity of the Cdk1/cyclinB1 complex",Gadd45b,GADD45a,False
0,6,HPRD50.d16.s5,"Data also has been obtained that Gadd45b and Gadd45g, as well as GADD45a, interact with both Cdk1 and cyclinB1, resulting in inhibition of the kinase activity of the Cdk1/cyclinB1 complex",Gadd45b,Cdk1,True
0,6,HPRD50.d16.s5,"Data also has been obtained that Gadd45b and Gadd45g, as well as GADD45a, interact with both Cdk1 and cyclinB1, resulting in inhibition of the kinase activity of the Cdk1/cyclinB1 complex",Gadd45b,Cdk1,True
0,6,HPRD50.d16.s5,"Data also has been obtained that Gadd45b and Gadd45g, as well as GADD45a, interact with both Cdk1 and cyclinB1, resulting in inhibition of the kinase activity of the Cdk1/cyclinB1 complex",Gadd45g,GADD45a,False
0,6,HPRD50.d16.s5,"Data also has been obtained that Gadd45b and Gadd45g, as well as GADD45a, interact with both Cdk1 and cyclinB1, resulting in inhibition of the kinase activity of the Cdk1/cyclinB1 complex",Gadd45g,Cdk1,True
0,6,HPRD50.d16.s5,"Data also has been obtained that Gadd45b and Gadd45g, as well as GADD45a, interact with both Cdk1 and cyclinB1, resulting in inhibition of the kinase activity of the Cdk1/cyclinB1 complex",Gadd45g,Cdk1,True
0,6,HPRD50.d16.s5,"Data also has been obtained that Gadd45b and Gadd45g, as well as GADD45a, interact with both Cdk1 and cyclinB1, resulting in inhibition of the kinase activity of the Cdk1/cyclinB1 complex",GADD45a,Cdk1,True
0,6,HPRD50.d16.s5,"Data also has been obtained that Gadd45b and Gadd45g, as well as GADD45a, interact with both Cdk1 and cyclinB1, resulting in inhibition of the kinase activity of the Cdk1/cyclinB1 complex",GADD45a,Cdk1,True
0,6,HPRD50.d16.s5,"Data also has been obtained that Gadd45b and Gadd45g, as well as GADD45a, interact with both Cdk1 and cyclinB1, resulting in inhibition of the kinase activity of the Cdk1/cyclinB1 complex",Cdk1,Cdk1,False
0,6,HPRD50.d16.s6,"Inhibition of Cdk1/cyclinB1 kinase activity by Gadd45b and Gadd45a was found to involve disruption of the complex, whereas Gadd45g did not disrupt the complex",Cdk1,Gadd45b,True
0,6,HPRD50.d16.s6,"Inhibition of Cdk1/cyclinB1 kinase activity by Gadd45b and Gadd45a was found to involve disruption of the complex, whereas Gadd45g did not disrupt the complex",Cdk1,Gadd45a,True
0,6,HPRD50.d16.s6,"Inhibition of Cdk1/cyclinB1 kinase activity by Gadd45b and Gadd45a was found to involve disruption of the complex, whereas Gadd45g did not disrupt the complex",Cdk1,Gadd45g,False
0,6,HPRD50.d16.s6,"Inhibition of Cdk1/cyclinB1 kinase activity by Gadd45b and Gadd45a was found to involve disruption of the complex, whereas Gadd45g did not disrupt the complex",Gadd45b,Gadd45a,False
0,6,HPRD50.d16.s6,"Inhibition of Cdk1/cyclinB1 kinase activity by Gadd45b and Gadd45a was found to involve disruption of the complex, whereas Gadd45g did not disrupt the complex",Gadd45b,Gadd45g,False
0,6,HPRD50.d16.s6,"Inhibition of Cdk1/cyclinB1 kinase activity by Gadd45b and Gadd45a was found to involve disruption of the complex, whereas Gadd45g did not disrupt the complex",Gadd45a,Gadd45g,False
0,8,HPRD50.d18.s0,The transmembrane receptor protein tyrosine phosphatase DEP1 interacts with p120(ctn),receptor protein tyrosine phosphatase,DEP1,False
0,8,HPRD50.d18.s0,The transmembrane receptor protein tyrosine phosphatase DEP1 interacts with p120(ctn),receptor protein tyrosine phosphatase,p120(ctn),True
0,8,HPRD50.d18.s0,The transmembrane receptor protein tyrosine phosphatase DEP1 interacts with p120(ctn),DEP1,p120(ctn),True
0,8,HPRD50.d18.s1,"The receptor-like protein tyrosine phosphatase DEP1, also known as CD148, is expressed predominantly in epithelial cells, in a variety of tumor cell lines, and in lymphocytes",receptor-like protein tyrosine phosphatase,DEP1,False
0,8,HPRD50.d18.s1,"The receptor-like protein tyrosine phosphatase DEP1, also known as CD148, is expressed predominantly in epithelial cells, in a variety of tumor cell lines, and in lymphocytes",receptor-like protein tyrosine phosphatase,CD148,False
0,8,HPRD50.d18.s1,"The receptor-like protein tyrosine phosphatase DEP1, also known as CD148, is expressed predominantly in epithelial cells, in a variety of tumor cell lines, and in lymphocytes",DEP1,CD148,False
0,8,HPRD50.d18.s2,DEP1 also interacted with other members of the catenin gene family including beta-catenin and gamma-catenin,DEP1,beta-catenin,True
0,8,HPRD50.d18.s3,"The interaction with p120(ctn) is likely to be direct, as the interaction occurs in K562 cells lacking functional adherens junctions and E-cadherin expression",p120(ctn),E-cadherin,False
0,8,HPRD50.d18.s4,"Catalytic domains of the tyrosine phosphatases PTP-PEST, CD45, and PTPbeta did not interact with proteins of the catenin family to detectable levels, suggesting that the interaction of DEP1 with these proteins is specific",PTP-PEST,CD45,False
0,8,HPRD50.d18.s4,"Catalytic domains of the tyrosine phosphatases PTP-PEST, CD45, and PTPbeta did not interact with proteins of the catenin family to detectable levels, suggesting that the interaction of DEP1 with these proteins is specific",PTP-PEST,DEP1,False
0,8,HPRD50.d18.s4,"Catalytic domains of the tyrosine phosphatases PTP-PEST, CD45, and PTPbeta did not interact with proteins of the catenin family to detectable levels, suggesting that the interaction of DEP1 with these proteins is specific",CD45,DEP1,False
0,8,HPRD50.d19.s0,p300/cAMP-response-element-binding-protein ('CREB')-binding protein (CBP) modulates co-operation between myocyte enhancer factor 2A (MEF2A) and thyroid hormone receptor-retinoid X receptor,p300,cAMP-response-element-binding-protein,False
0,8,HPRD50.d19.s0,p300/cAMP-response-element-binding-protein ('CREB')-binding protein (CBP) modulates co-operation between myocyte enhancer factor 2A (MEF2A) and thyroid hormone receptor-retinoid X receptor,p300,CREB,False
0,8,HPRD50.d19.s0,p300/cAMP-response-element-binding-protein ('CREB')-binding protein (CBP) modulates co-operation between myocyte enhancer factor 2A (MEF2A) and thyroid hormone receptor-retinoid X receptor,p300,MEF2A,True
0,8,HPRD50.d19.s0,p300/cAMP-response-element-binding-protein ('CREB')-binding protein (CBP) modulates co-operation between myocyte enhancer factor 2A (MEF2A) and thyroid hormone receptor-retinoid X receptor,cAMP-response-element-binding-protein,CREB,False
0,8,HPRD50.d19.s0,p300/cAMP-response-element-binding-protein ('CREB')-binding protein (CBP) modulates co-operation between myocyte enhancer factor 2A (MEF2A) and thyroid hormone receptor-retinoid X receptor,cAMP-response-element-binding-protein,MEF2A,True
0,8,HPRD50.d19.s0,p300/cAMP-response-element-binding-protein ('CREB')-binding protein (CBP) modulates co-operation between myocyte enhancer factor 2A (MEF2A) and thyroid hormone receptor-retinoid X receptor,CREB,MEF2A,True
0,8,HPRD50.d19.s1,p300/cAMP-response-element-binding-protein ('CREB')-binding protein (CBP) interacting with transcription factors is able to increase their activity on target gene promoters,p300,cAMP-response-element-binding-protein,False
0,8,HPRD50.d19.s1,p300/cAMP-response-element-binding-protein ('CREB')-binding protein (CBP) interacting with transcription factors is able to increase their activity on target gene promoters,p300,CREB,False
0,8,HPRD50.d19.s1,p300/cAMP-response-element-binding-protein ('CREB')-binding protein (CBP) interacting with transcription factors is able to increase their activity on target gene promoters,cAMP-response-element-binding-protein,CREB,False
0,8,HPRD50.d19.s2,"Our findings showed that the same C-terminal portion of p300 binds the N-terminal domains of both TR and MEF2A, and our in vivo studies demonstrated that TR, MEF2A and p300 form a ternary complex",p300,MEF2A,True
0,8,HPRD50.d19.s2,"Our findings showed that the same C-terminal portion of p300 binds the N-terminal domains of both TR and MEF2A, and our in vivo studies demonstrated that TR, MEF2A and p300 form a ternary complex",p300,MEF2A,False
0,8,HPRD50.d19.s2,"Our findings showed that the same C-terminal portion of p300 binds the N-terminal domains of both TR and MEF2A, and our in vivo studies demonstrated that TR, MEF2A and p300 form a ternary complex",p300,p300,False
0,8,HPRD50.d19.s2,"Our findings showed that the same C-terminal portion of p300 binds the N-terminal domains of both TR and MEF2A, and our in vivo studies demonstrated that TR, MEF2A and p300 form a ternary complex",MEF2A,MEF2A,False
0,8,HPRD50.d19.s2,"Our findings showed that the same C-terminal portion of p300 binds the N-terminal domains of both TR and MEF2A, and our in vivo studies demonstrated that TR, MEF2A and p300 form a ternary complex",MEF2A,p300,False
0,8,HPRD50.d19.s2,"Our findings showed that the same C-terminal portion of p300 binds the N-terminal domains of both TR and MEF2A, and our in vivo studies demonstrated that TR, MEF2A and p300 form a ternary complex",MEF2A,p300,True
0,8,HPRD50.d20.s0,"The human Imp3 and Imp4 proteins form a ternary complex with hMpp10, which only interacts with the U3 snoRNA in 60-80S ribonucleoprotein complexes",Imp3,Imp4,True
0,8,HPRD50.d20.s0,"The human Imp3 and Imp4 proteins form a ternary complex with hMpp10, which only interacts with the U3 snoRNA in 60-80S ribonucleoprotein complexes",Imp3,snoRNA,True
