Fold_no,Sentence_ID,Sentence
1,IEPA.d58.s153,"We conclude that: (1) AVP causes a rapid, and reversible, phosphorylation of the MARCKS protein in the ovine anterior pituitary; (2) since the AVP-induced increase in MARCKS phosphorylation occurs much earlier in these cells than does PKC trans-location, MARCKS phosphorylation may provide a more sensitive index of the onset of PKC activation than the translocation assay; (3) the close temporal association between MARCKS phosphorylation and the rapid early release of ACTH suggests that MARCKS phosphorylation may be involved in the initial intracellular events that underly exocytosis of the hormone."
1,IEPA.d86.s205,"These observations suggest that bradykinin, like oxytocin, activates phospholipase C which generates IP3 with a subsequent release of Ca2+ from intracellular stores followed by store-operated Ca2+ influx"
1,IEPA.d106.s245,"Protein kinase C (PKC) inhibitors reversed AVP inhibition, whereas PKC activator inhibited nitrite production"
1,IEPA.d106.s246,The inhibitory action of AVP involves both the activation of PKC and the transcription of iNOS mRNA in cultured rat GMC
1,IEPA.d121.s289,"An inhibitor of PKC, Ro31-8220 (10 microM), abolished the ability of PDBu to decrease [Ca(2+)](i), without affecting the response to maximal or submaximal concentrations of AVP"
1,IEPA.d137.s325,We previously showed that arginine vasopressin (AVP) stimulates heat shock protein 27 (HSP27) induction through protein kinase C activation in aortic smooth muscle A10 cells
1,IEPA.d137.s326,"Calphostin C and ET-18-OCH(3), inhibitors of protein kinase C, reduced the phosphorylation of p38 MAP kinase by AVP"
1,IEPA.d146.s351,Ca2+ signalling in rat vascular smooth muscle cells: a role for protein kinase C at physiological vasoconstrictor concentrations of vasopressin
1,IEPA.d146.s352,"The protein kinase C (PKC) activator 4beta-phorbol 12-myristate 13-acetate (PMA, 100 pM to 200 nM), also stimulated Ca2+ spiking and this effect was additive with a submaximal concentration of AVP (50 pM)"
1,IEPA.d146.s353,The PKC inhibitors Ro-31-8220 (1 microM) and calphostin C (250 nM) completely blocked the stimulation of Ca2+ spiking by either PMA or AVP
1,IEPA.d146.s354,"Time-dependent redistribution of PKC-alpha, -delta and -epsilon isoforms between the membrane and cytosolic fractions occurred in response to 100 pM AVP"
1,IEPA.d146.s355,"Pretreatment for 24 h with 1 microM PMA downregulated expression of PKC-alpha and -delta, but not PKC-epsilon, and prevented the Ca2+-spiking responses to either 1 nM PMA or 100 pM AVP"
1,IEPA.d146.s356,We conclude that PKC activation is a necessary step in the signal transduction pathway linking low concentrations of AVP to Ca2+ spiking in A7r5 cells
1,IEPA.d161.s386,"Induction of fatty acid translocase/CD36, peroxisome proliferator-activated receptor-gamma2, leptin, uncoupling proteins 2 and 3, and tumor necrosis factor-alpha gene expression in human subcutaneous fat by lipid infusion"
1,IEPA.d161.s387,"Using reverse transcriptase-polymerase chain reaction analysis, the mRNA expression of fatty acid translocase (FAT)/CD36, PPAR-gamma2, leptin, uncoupling protein (UCP)-2 and UCP-3, and tumor necrosis factor (TNF)-alpha was investigated in gluteal subcutaneous fat biopsies before and after 5 h infusions of saline or Intralipid (Pharmacia and Upjohn, Milan, Italy) plus heparin, which does not modify insulinemia"
1,IEPA.d161.s388,"Marked increases in FAT/CD36 (724+/-18%; P < 0.05), PPAR-gamma2 (200+/-8%; P < 0.05), leptin (110+/-13%; P < 0.05), UCP-2 (120+/-7%; P < 0.05), UCP-3 (80+/-5%; P < 0.05), and TNF-alpha mRNA (130+/-12%; P < 0.05) were observed in comparison with pretreatment levels, whereas there was no change after saline infusion"
1,IEPA.d161.s389,"These data suggest that the in vivo gene expression of FAT/CD36, PPAR-gamma2, leptin, UCP-2, UCP-3, and TNF-alpha in subcutaneous adipose tissue is regulated by circulating lipids independent of insulin and that prolonged hyperlipidemia may therefore contribute to increased fat metabolism and storage as a result of the increased expression of these proteins"
1,IEPA.d169.s409,"The body mass index (BMI), leptin, plasma neuropeptide Y (NPY), serotonin, thyroxine (T4), triiodothyronine (T3) and reverse triiodothyronine (rT3) in serum were evaluated for each subject"
1,IEPA.d174.s422,"Dietary intakes of flavonols, flavones and isoflavones by Japanese women and the inverse correlation between quercetin intake and plasma LDL cholesterol concentration"
1,IEPA.d174.s423,"The total intake of flavonoids was inversely correlated with the plasma total cholesterol concentration (TC) (r = -0.236, P: < 0.05) and plasma LDL cholesterol concentration (LDL-C) (r = -0.220, P: < 0.05), after the adjustment for age, body mass index and total energy intake"
1,IEPA.d29.s61,"This action of beta-amyloid 25-35 is not altered by pretreatment with the calcium channel blockers nifedipine or cobalt, with the depleter of intracellular calcium stores cyclopiazonic acid, or with the phospholipase C inhibitor neomycin"
1,IEPA.d42.s103,Signal transduction in pancreatic beta-cells: Regulation of insulin secretion by information flow in the phospholipase C/Protein kinase C pathway
1,IEPA.d42.s104,The physiologic regulation of glucose-induced insulin secretion is dependent upon the activation of information flow in the phospholipase C (PLC)/protein kinase C (PKC) signal transduction system
1,IEPA.d42.s105,"When rat islet are cultured for short periods, the content and activation of PLC in response to glucose decreases and this biochemical defect in signal transduction is paralleled by significant reductions in glucose-induced insulin secretion"
1,IEPA.d42.s106,"Biphasic insulin secretion can be evoked and time-dependent potentiation can be induced in mouse islets by carbachol, an agonist that activates an isozyme of PLC distinct from that activated by glucose"
1,IEPA.d42.s107,"When taken in their entirety, the experimental evidence suggests that the activation of PLC is an essential component in the physiologic regulation of insulin secretion and that disordered activation of the enzyme culminates in disordered insulin release"
1,IEPA.d46.s115,Amyloid beta protein (25-35) stimulation of phospholipase C in LA-N-2 cells
1,IEPA.d46.s116,This phospholipase C stimulation by amyloid beta protein appeared to be pertussis toxin sensitive
1,IEPA.d46.s117,It is possible that this phospholipase C stimulation by amyloid beta protein is a receptor-mediated process
1,IEPA.d46.s118,"Amyloid beta protein stimulation of phospholipase C was absent from LA-N-2 cells previously treated with norepinephrine, trans-1-amino-1,3-cyclopentanedicarboxylic acid (t-ACPD), bombesin, or amyloid beta peptide"
1,IEPA.d46.s119,It is suggested that this observed amyloid beta protein stimulation of phospholipase C may be responsible for the elevated quantity of inositol seen in the brains of Alzheimer's disease patients
1,IEPA.d51.s133,Insulin stimulates the release of the glycosyl phosphatidylinositol-anchored membrane dipeptidase from 3T3-L1 adipocytes through the action of a phospholipase C
1,IEPA.d51.s134,"The hydrophilic form of MDP released from the cells on stimulation with insulin was recognized by antibodies against the inositol 1,2-cyclic monophosphate cross-reacting determinant, indicating that it had been generated by cleavage of its GPI anchor through the action of a phospholipase C"
1,IEPA.d136.s324,"The etiology for diabetes mellitus in PWS may be related to the morbid obesity and consequent insulin resistance, because a decrease of oxytocin neurons and leptin resistance in PWS may cause hyperphagia, inducing obesity"
1,IEPA.d167.s403,"Pretreatment of HEK-293 cells for 2 min with carbachol, a mAChR agonist, lysophosphatidic acid, or ATP, followed by agonist washout, strongly increased (by 2-3-fold) maximal PLC stimulation (measured >/=40 min later) by epidermal growth factor and platelet-derived growth factor, but not insulin, and largely enhanced PLC sensitivity to these RTK agonists"
2,IEPA.d10.s22,Amyloid beta protein disruption of cholinergic and growth factor phospholipase C signals could underlie cognitive and neurodegerative aspects of Alzheimer's disease
2,IEPA.d15.s32,The beta amyloid protein fragments had diverse effects on phosphoinositide-specific phospholipase C (PI-PLC) as assayed in rat cortical membranes
2,IEPA.d22.s46,"Once the abnormally phosphorylated abnormal prion protein isoform agent is initiated, any stress event ensuing in adult life induces a nerve growth factor-mediated synthesis of normal cellular prion protein isoform that aggregates to abnormally phosphorylated abnormal prion protein isoform, thereby becoming 'infected'/transformed into the same; due to the vicious circle of positive feedback invoked by the blocking of a prion protein-specific kinase"
2,IEPA.d25.s54,The responses of serum oxytocin (OT) and vasopressin (AVP) to the serotonergic HT1A agonist buspirone (15 mg p.o.) or the HTD1 agonist sumatriptan (6 mg injected subcutaneously) were evaluated in 7 normal men either in basal conditions or during an insulin (0.15 iu/kg as an i.v. bolus) tolerance test (ITT)
2,IEPA.d25.s55,Stimulation of 5HT-1D receptors with sumatriptan was unable to change neither AVP nor OT response to insulin-induced hypoglycemia
2,IEPA.d43.s108,Induction by leptin of uncoupling protein-2 and enzymes of fatty acid oxidation
2,IEPA.d43.s109,Here we show that leptin alters in pancreatic islets the mRNA of the genes encoding enzymes of free fatty acid metabolism and uncoupling protein-2 (UCP-2)
2,IEPA.d43.s110,"Leptin overexpression increased UCP-2 mRNA by more than 10-fold in epididymal, retroperitoneal, and subcutaneous fat tissue of normal, but not of leptin-receptor-defective obese rats"
2,IEPA.d43.s111,"By directly regulating the expression of enzymes of free fatty acid metabolism and of UCP-2, leptin controls intracellular triglyceride content of certain nonadipocytes, as well as adipocytes"
2,IEPA.d60.s155,"The activity of the MAPKs, induced by AVP or PMA was inhibited by downregulation of protein kinase C (PKC), by the tyrosine kinase inhibitor genistein and by MAPK kinase (MEK) inhibitor, PD98059"
2,IEPA.d60.s156,"We suggest that AVP activates the 42/44kDa MAPKs through a signal transduction pathway that involves stimulation of AVP-V1 receptor, tyrosine kinase, PKC and MEK"
2,IEPA.d72.s173,"Treatment with (+)-trifluoro-ABA strongly inhibited the gibberellic acid-inducible expression of alpha-amylase I-1 encoded by RAmy1A in the aleurone layers of embryoless half-seeds at the levels of transcription, protein synthesis, and enzyme activity"
2,IEPA.d74.s176,Chronic central leptin infusion enhances insulin-stimulated glucose metabolism and favors the expression of uncoupling proteins
2,IEPA.d74.s177,"In marked contrast, intracerebroventricular leptin administration was accompanied by the maintenance of high UCP1, UCP2, and UCP3 expression in all these tissues"
2,IEPA.d74.s178,"While leptin maintains or favors energy-dissipating mechanisms (UCP1, UCP2, and UCP3), the latter are markedly depressed in pair-fed rats"
2,IEPA.d76.s182,"Melatonin inhibits oxytocin response to insulin-induced hypoglycemia, but not to angiotensin II in normal men"
2,IEPA.d76.s183,"In order to establish whether melatonin alters basal and/or stimulated oxytocin secretion, 18 normal men were treated (p.o.) with 6 or 12 mg melatonin or placebo in basal conditions (N-6 subjects) or concomitantly to the administration of insulin (O.15 IU/kg body weight in an i.v. bolus) (N-6 subjects) or angiotensin II (increasing doses of 4, 8 and 16 ng/kg/min, at intervals of 20 min)"
2,IEPA.d76.s184,"In contrast, the oxytocin response to insulin-induced hypoglycemia was significantly reduced by melatonin treatment"
2,IEPA.d84.s199,Effect of residual endogenous insulin secretion on the abnormal oxytocin response to hypoglycaemia in insulin-dependent diabetics
2,IEPA.d84.s200,"Since previous studies showed that AVP secretion is influenced by the persistence of residual endogenous insulin secretion, we wondered whether this factor also regulates OT secretion"
2,IEPA.d84.s201,DESIGN: Case-control study: the OT response to insulin-induced hypoglycaemia was measured in normal and diabetic patients with or without residual endogenous insulin secretion
2,IEPA.d84.s202,"Blood samples for OT assay were taken just before the rapid injection of insulin (time 0) and at time 15, 30, 45 and 60 min"
2,IEPA.d84.s203,CONCLUSIONS: These data indicate that a residual endogenous insulin secretion exerts a partial protective action against the hypothalamic-pituitary disorder affecting the OT secretory system in IDDM
2,IEPA.d87.s206,"These findings led us to conclude that inositol trisphosphate [corrected] causes Ca2+ mobilization by muscarinic activation of PLC, leading to intracellular translocation of insulin granules to the ready-releasable pool in pancreatic beta-cells via Ca2+/calmodulin-dependent phosphorylation of myosin light chains"
2,IEPA.d90.s213,DNase1 footprints suggest the involvement of at least three types of transcription factors in the regulation of alpha-Amy2/A by gibberellin
2,IEPA.d90.s214,The regulation of alpha-Amy2 genes by GA therefore involves an interplay of at least three different types of transcription factor
2,IEPA.d112.s270,"Analyses of hormone regulation of expression of mRNA for the aleurone RNase revealed that, like the pattern for alpha-amylase, mRNA levels increased in the presence of gibberellic acid, and its antagonist abscisic acid prevented this effect"
2,IEPA.d112.s271,"Quantitative studies at early times demonstrated that cycloheximide treatment of aleurone layers increased mRNA levels 4-fold, whereas a combination of gibberellin plus cycloheximide treatment was required to increase alpha-amylase mRNA levels to the same extent"
2,IEPA.d156.s373,"Leptin is a satiety factor which acts within the hypothalamus to decrease the levels of several neuropeptides stimulating food intake (among them, neuropeptide Y [NPY]), while increasing those that inhibit food intake"
2,IEPA.d175.s424,"Although the above data are consistent with a direct ability of leptin to promote TRH biosynthesis through actions on TRH neurons, addition of a-MSH produced a 3.5 fold increase in TRH biosynthesis and release, whereas NPY treatment suppressed ~3 fold proTRH biosynthesis"
2,IEPA.d197.s478,Bovine prion protein as a modulator of protein kinase CK2
2,IEPA.d197.s479,"On the basis of far-Western blot and plasmon resonance (BIAcore) experiments, we show here that recombinant bovine prion protein (bPrP) (25-242) strongly interacts with the catalytic alpha/alpha' subunits of protein kinase CK2 (also termed 'casein kinase 2')"
2,IEPA.d197.s480,We also show that bPrP counteracts the inhibition of calmodulin phosphorylation promoted by the regulatory beta subunits of CK2
2,IEPA.d197.s481,A truncated form of bPrP encompassing the C-terminal domain (residues 105-242) interacts with CK2 but does not affect its catalytic activity
2,IEPA.d197.s482,"These results disclose the potential of the PrP to modulate the activity of CK2, a pleiotropic protein kinase that is particularly abundant in the brain"
2,IEPA.d64.s161,"Similarly, carbachol, but not AVP or DDAVP, induced a significant increase in membrane-associated protein kinase C (PKC) enzyme activity"
2,IEPA.d64.s162,"In contrast, AVP had no effect on the distribution of any PKC isoform tested"
2,IEPA.d116.s284,"In the present study we found that at increasing GA concentrations, increasing numbers of barley (Hordeum vulgare) cells showed the enhanced amylase secretion and vacuolation characteristic of the GA response"
2,IEPA.d189.s453,These findings are consistent with increased leptin signaling to the NPY and POMC neurons in the ARC by physiological levels of circulating leptin during normal feeding
2,IEPA.d195.s469,Leptin Rapidly Inhibits Hypothalamic Neuropeptide Y Secretion and Stimulates Corticotropin-Releasing Hormone Secretion in Adrenalectomized Mice
2,IEPA.d195.s470,"Leptin may rapidly inhibit food intake by altering the secretion of hypothalamic neuropeptides such as neuropeptide Y (NPY), a stimulator of food intake, and/or corticotropin-releasing hormone (CRH), an inhibitor of food intake"
2,IEPA.d195.s471,"We measured concentrations of NPY and CRH in specific hypothalamic regions [i.e., arcuate nucleus (ARC), paraventricular nucleus (PVN), ventromedial nucleus and dorsomedial nucleus] of 7- to 8-wk-old lean and ob/ob mice at 1 or 3 h after intracerebroventricular leptin administration"
2,IEPA.d195.s472,No rapid-onset effects of leptin on hypothalamic NPY or CRH concentrations were observed in intact mice
2,IEPA.d195.s473,The addition of leptin to hypothalamic preparations from intact mice also did not alter NPY or CRH secretion
2,IEPA.d195.s474,"Within 20 min after exposure to leptin, NPY secretion from hypothalamic preparations obtained from adrenalectomized mice was lowered by 27% and CRH secretion was elevated by 51%"
2,IEPA.d195.s475,The current study demonstrates that leptin rapidly influences the secretion of hypothalamic NPY and CRH and that these actions of leptin within the hypothalamus are restrained by the presence of endogenous corticosterone
3,IEPA.d8.s14,"The objectives of this study were to evaluate and compare the actions of endothelin-1 (ET-1), oxytocin, prostaglandin F2 alpha (PGF2 alpha) and inositol 1,4,5-trisphosphate (IP3) on 45Ca2+ mobilization in permeabilized rat myometrial cells and to examine the activation of the inositol lipid cycle in intact myocytes"
3,IEPA.d8.s15,"All four agonists caused a biphasic release of 45Ca2+ from non-mitochondrial pool(s), with the rank order of potency: oxytocin > PGF2 alpha > ET-1 > IP3"
3,IEPA.d8.s16,"Endothelin-1 and oxytocin stimulated inositol phosphate accumulation at concentrations similar to those that promoted 45Ca2+ efflux, whereas about 100 times higher concentrations of PGF2 alpha were needed to activate this signaling pathway in intact cells"
3,IEPA.d8.s17,"It is concluded that the primary action of PGF2 alpha in myometrial cells is to enhance Ca2+ influx, whereas oxytocin and ET-1 receptors are coupled to phospholipase C, generating IP3 and raising the intracellular concentration of free Ca2+ from intracellular as well as extracellular sources"
3,IEPA.d9.s18,"Oxytocin induced a biphasic increase in the intracellular Ca2+ concentration of porcine myometrial cells: participation of a pertussis toxin-insensitive G-protein, inositol 1,4,5-trisphosphate-sensitive Ca2+ pool, and Ca2+ channels"
3,IEPA.d9.s19,"Administration of OT (1 microM) for 15 sec increased inositol 1,4,5-trisphosphate (IP3) formation by 61%"
3,IEPA.d9.s20,"Pretreatment with pertussis toxin (PTX, 1 microgram/ml) for 2 hr failed to alter the OT-induced increase in [Ca2+]i and IP3 formation"
3,IEPA.d9.s21,U-73122 (3 microM) also abolished the OT-induced IP3 formation
3,IEPA.d24.s48,"The aim of the present study was to investigate how oxytocin given subcutaneously (SC) and intracerebroventricularly (ICV) influences the secretion of insulin, glucagon and glucose and to investigate whether the effect on these variables of suckling in lactating rats is mediated by oxytocinergic mechanisms"
3,IEPA.d24.s49,"Subcutaneous injections of oxytocin increased insulin, glucagon and glucose levels significantly"
3,IEPA.d24.s50,Two nanograms oxytocin given ICV had no effect on glucagon and glucose levels but caused a significant rise in insulin levels at this time point
3,IEPA.d24.s51,The oxytocin antagonist 1-deamino-2-D-Tyr-(OEt)-4-Thr-8-Orn-oxytocin administered ICV increased insulin levels itself and therefore the effect on oxytocin-induced insulin secretion was difficult to evaluate
3,IEPA.d24.s52,Intracerebroventricular injections of 200 ng oxytocin caused a significant rise not only of insulin but also of glucagon and glucose levels
3,IEPA.d24.s53,"In contrast, nanogram amounts of oxytocin administered ICV cause a rise of insulin levels"
3,IEPA.d27.s57,"8-OH-DPAT also increased insulin and decreased CCK and somatostatin levels, effects that were blocked by pretreatment with the oxytocin antagonist"
3,IEPA.d27.s58,"Taken together, these data suggest that the effect of 8-OH-DPAT on plasma levels of insulin, somatostatin and CCK may be mediated by oxytocin"
3,IEPA.d27.s59,"In previous experiments, we have shown that following i.c.v. application of oxytocin, plasma levels of insulin are increased through a cholinergic mechanism"
3,IEPA.d34.s80,Immunohistochemical localization of leptin and uncoupling protein in white and brown adipose tissue
3,IEPA.d34.s81,"To establish the cell type expressing leptin, we also assessed the size and organization of lipid droplets, the ultrastructural features of mitochondria, and the presence or absence of uncoupling protein, a brown fat-specific marker"
3,IEPA.d34.s82,"In brown adipose tissue of lean animals, multilocular uncoupling protein (UCP)-positive brown adipocytes had typical brown mitochondria and were leptin-negative, both in fed and fasted conditions"
3,IEPA.d34.s83,"At the periphery of the interscapular brown adipose tissue depot, unilocular, UCP-negative adipocytes (mean diameter: 41.55 microns) with white-type mitochondria were observed, and these cells were leptin-positive"
3,IEPA.d34.s84,"In obese (db/db) animals, brown fat was composed mainly of small unilocular, UCP-positive adipocytes (mean diameter: 40.08 microns), which were also leptin-positive"
3,IEPA.d34.s85,"In summary, classical brown adipocytes differ from white adipocytes, not only by their morphology and UCP expression, but also by their apparent lack of detectable leptin expression"
3,IEPA.d66.s166,"However, the AVP-dependent stimulation required activation of protein kinase C (PKC), whereas the inhibition was PKC independent, indicating that the NGF-induced signaling pathways leading to inhibition and stimulation of HCO3- absorption are distinct"
3,IEPA.d71.s172,HvSPY coexpression largely abolished GA3-induced activity of an alpha-amylase promoter.
3,IEPA.d129.s307,"Sympathetic inhibition, leptin, and uncoupling protein subtype expression in normal fasting rats"
3,IEPA.d129.s308,"To further investigate neural effects on leptin and uncoupling proteins (UCPs), we studied in vivo perturbations intended to block adrenergic input to peripheral tissues"
3,IEPA.d129.s309,"We examined plasma leptin, leptin mRNA, and adipose and muscle UCP subtype mRNA in rats treated with alpha-methyl-p-tyrosine methyl ester (AMPT-ME), which inhibits catecholamine synthesis and 6-hydroxydopamine (6HDA), which is toxic to catecholinergic nerve terminals but, unlike AMPT-ME, does not enter the central nervous system"
3,IEPA.d129.s310,"Intraperitoneal 6HDA, 100 mg/kg, as a single dose at 1800, increased plasma leptin approximately twofold after 18-20 h, increased IBAT (but not epididymal fat) leptin mRNA by two- to threefold, and decreased IBAT UCP-3 mRNA to 30-40% of control"
3,IEPA.d129.s311,"However, the in vivo modulation of leptin and UCPs appears complex and, beyond a causal effect of SNA per se, may depend on concurrent changes in plasma insulin, glucose, and circulatory hemodynamics"
3,IEPA.d149.s362,"Furthermore, in SN-56/OBR cells both CNTF and leptin produce changes in neurotransmitter and neuropeptide phenotype characteristic of cholinergic neurons, such as an increase in choline acetyltransferase and vasoactive intestinal polypeptide, and a decrease in neuropeptide Y expression"
3,IEPA.d150.s363,Possible central nervous system (CNS) mechanisms could mediate these responses in that leptin receptors are located on hypothalamic neurons that coexpress neuropeptide-Y (NPY) or proopiomelanocortin (POMC) and both peptides that have been implicated as mediators of the CNS action of leptin.
3,IEPA.d150.s364,Leptin has been demonstrated to decrease or down regulate NPY expression and increase POMC expression
3,IEPA.d153.s369,"Interestingly, both 5-HT and leptin modulate the action of NPY, which may form a part of a common output pathway for the expression of appetite"
3,IEPA.d157.s374,"We have studied the effects of neomycin, a potent inhibitor of inositol phospholipid-specific phospholipase C (PLC), on the germination of rice seed and the gibberellin-induced expression of alpha-amylase in the aleurone layer and the scutellar tissues"
3,IEPA.d157.s375,"It was shown that, in the absence of exogenous Ca2+, neomycin markedly reduced the germination speed and seedling growth of rice seeds and inhibited the gibberellin-induced expression of alpha-amylase in both secretory tissues"
3,IEPA.d157.s376,These results strongly suggest that the phosphoinositide-Ca2+ signal transduction pathway may play an important role in the gibberellin-induced expression of alpha-amylase molecules closely related to the germination processes of rice seed
3,IEPA.d163.s395,C75 inhibited expression of the prophagic signal neuropeptide Y in the hypothalamus and acted in a leptin-independent manner that appears to be mediated by malonyl-coenzyme A
3,IEPA.d165.s397,Interactions between leptin and NPY affecting lipid mobilization in adipose tissue
3,IEPA.d165.s398,The aim of the current investigations was focused on the study of the involvement of leptin and neuropeptide Y in lipid mobilization
3,IEPA.d165.s399,The lipolytic rate was assessed through glycerol release after incubation with leptin and NPY at concentrations ranging from 10(-6) to 10(-12) M in isolated adipocytes obtained from female rats
3,IEPA.d165.s400,"At equimolar concentrations of leptin and NPY (10(-12) to 10(-6) M) the observed lipolytic activity is comparable to the basal lipolytic activity, except at a concentration of 10(-9) M where upon a significant increase in lipolysis is observed"
3,IEPA.d165.s401,"Summing up, new evidence suggests that NPY and leptin may interact in a homeostatic loop to regulate body-fat mass and energy balance not only at the central nervous system level, but also directly at the adipocyte level"
3,IEPA.d191.s459,"Similarly, central leptin treatment also had a greater effect in suppressing hypothalamic NPY mRNA expression in young (-23+/-4%) than in old (-8+/-4%) rats compared with their age-matched pair-fed treated rats"
3,IEPA.d5.s8,"Oxytocin-stimulated inositol phosphate turnover in endometrium of ewes is influenced by stage of the estrous cycle, pregnancy, and intrauterine infusion of ovine conceptus secretory proteins"
3,IEPA.d5.s9,"Three experiments (Exp) assessed the influence of stage of the estrous cycle, pregnancy, and intrauterine infusion of ovine conceptus secretory proteins (oCSP) on turnover of inositol trisphosphate (the putative second-messenger for oxytocin-stimulated secretion of prostaglandin F2 alpha) in ovine endometrium during luteolysis and maternal recognition of pregnancy"
3,IEPA.d5.s10,"For each Exp, 100 mg endometrium was incubated, in duplicate, for 2 h with 10 microCi [3H] inositol and treated with 0 or 100 nM oxytocin (OT) for 20 min, then [3H]inositol mono-, bis-, and trisphosphates (IP1, IP2, and IP3, respectively) were quantified"
3,IEPA.d30.s62,"The influence of myrigalone B, a flavonoid from the fruit exudate of Myrica gale L. on Cu(2+)-induced oxidation of low density lipoprotein from cholesterol fed rabbits was investigated"
3,IEPA.d53.s137,"During luteinization of bovine granulosa cells in vitro in the presence of insulin, or insulin plus forskolin, there is a massive upregulation not only of progesterone production, but also of the gene for the peptide hormone oxytocin, with secretion of the peptide into the medium"
3,IEPA.d110.s264,Signal transduction of arginine vasopressin-induced arachidonic acid release in H9c2 cardiac myoblasts: role of Ca2+ and the protein kinase C-dependent activation of p42 mitogen-activated protein kinase
3,IEPA.d110.s265,"The Ca2+ ionophore, A23187 or ionomycin, mimicked the effect of AVP, whereas the protein kinase C (PKC) activator, TPA, only induced a slight increase in AA release"
3,IEPA.d110.s266,"Western blots demonstrated expression of PKCalpha, betaI, epsilon, delta, and zeta in H9c2 cells; PKC inhibitors (staurosporine or Ro 31-8220) or down-regulation of PKCalpha, betaI, epsilon, and delta by long-term (24 h) TPA treatment caused a partial blockade of the AVP-induced response, whereas the A23187-induced AA release was unaffected by down-regulation of these isoforms"
3,IEPA.d110.s267,"AVP- or TPA-induced activation and tyrosine phosphorylation of p42 MAPK were completely blocked by down-regulation of PKCalpha, betaI, epsilon, and delta, but still occurred, together with the cytosolic PLA2 mobility shift, in the absence of external Ca2+"
3,IEPA.d110.s268,"These results show that AVP-induced AA release in H9c2 cells is secondary to activation of the V1 receptor/Gq protein/PLCP pathway, leading to an influx of extracellular Ca2+ and activation of PKCalpha, betaI, epsilon, and delta"
3,IEPA.d124.s297,"By comparison with the promoters of alpha-amylase genes, which are also induced by GA, we suggest that GARE is coupled with the upstream element and the pyrimidine box to form a GA response complex"
4,IEPA.d18.s40,"The relative risks between highest and lowest quarters of flavonoid intake adjusted for age, smoking, serum cholesterol concentration, blood pressure, and body mass index were 0.69 (95% confidence interval 0.53 to 0.90) and 0.54 (0.33 to 0.87) for total and coronary mortality, respectively"
4,IEPA.d33.s71,Correlation between the stimulatory effect of oxytocin on the formation of inositol phosphates and the oxytocin receptor level in the pregnant rabbit myometrium
4,IEPA.d33.s72,"OBJECTIVE: In order to elucidate the roles of inositol trisphosphate (IP3) and oxytocin (OT) receptors in rabbit parturition, the concentration of IP3 induced by OT and the OT receptor levels were determined in rabbit myometria before and after parturition"
